"V1","V2","cid_match","cid_non_match","cid_max_non_match","cid_min_non_match","ss","s2","s3","Data card","Laptop","Network device","SmartPhone","USB modem","phone_matched","vendor_matched","l2_dist_diff_1","l1_dist_diff_1","l2_dist_diff_2","l1_dist_diff_2","cid_match_adj","cid_non_match_adj","cid_max_non_match_adj","cid_min_non_match_adj","ss_adj","s2_adj","s3_adj"
"1",158500411793,158529027621,4,8,7,1,0.363636363636364,0.8,0.5,0,1,0,1,0,0,0,-52.5855936007362,-66.539895807952,52.5855936007362,66.539895807952,7,13,9,4,0.636363636363636,0.636363636363636,0.518518518518518
"2",158500437133,158506811071,2,13,12,1,0.666666666666667,0.666666666666667,0.235294117647059,0,0,0,2,0,0,0,92.9166178950222,-18.3976839644622,92.9166178950222,18.3976839644622,13,45,44,1,0.228070175438596,0.928571428571429,0.366197183098592
"3",158500611579,158536600757,0,23,21,2,0,0,0,0,1,0,0,0,0,0,-21440.7390197876,-14524.9805862376,21440.7390197876,14524.9805862376,2,31,19,12,0.142857142857143,0.142857142857143,0.114285714285714
"4",158500670731,158516086365,0,13,9,4,0,0,0,0,1,0,1,0,0,0,21831.5812334522,10208.0136473774,21831.5812334522,10208.0136473774,0,17,9,8,0,0,0
"5",158500730293,158500730487,2,31,23,8,0.2,0.2,0.114285714285714,0,0,0,2,0,0,0,-2252.16234115352,-1794.65426859607,2252.16234115352,1794.65426859607,2,31,23,8,0.2,0.2,0.114285714285714
"6",158500832267,158520843211,1,18,10,8,0.0909090909090909,0.111111111111111,0.1,0,0,0,2,0,0,0,-2000.11827407419,-1266.52203964415,2000.11827407419,1266.52203964415,1,18,10,8,0.0909090909090909,0.111111111111111,0.1
"7",158500941403,158516497707,3,4,3,1,0.75,0.75,0.6,0,0,0,1,0,0,0,460.877708272924,405.989228295446,460.877708272924,405.989228295446,3,11,8,3,0.272727272727273,0.5,0.352941176470588
"8",158501037171,158522529493,1,23,14,9,0.1,0.1,0.08,0,0,0,2,0,0,0,6178.22043199386,3448.08407187994,6178.22043199386,3448.08407187994,1,23,14,9,0.1,0.1,0.08
"9",158501551109,158505222935,8,14,11,3,0.421052631578947,0.727272727272727,0.533333333333333,0,0,0,2,0,0,0,205.812013538829,158.334475749059,205.812013538829,158.334475749059,8,14,11,3,0.421052631578947,0.727272727272727,0.533333333333333
"10",158501557263,158506092285,4,7,4,3,0.5,0.571428571428571,0.533333333333333,0,0,0,2,0,0,0,-1.69974101180094,30.4882505630205,1.69974101180094,30.4882505630205,55,23,19,4,0.743243243243243,0.932203389830508,0.827067669172932
"11",158502336809,158532486825,3,9,6,3,0.333333333333333,0.5,0.4,0,0,0,2,0,0,0,1430.8633033865,860.688978319449,1430.8633033865,860.688978319449,3,9,6,3,0.333333333333333,0.5,0.4
"12",158502683611,158520842209,3,11,10,1,0.230769230769231,0.75,0.352941176470588,0,0,0,1,0,0,0,480.610269115588,388.089170642701,480.610269115588,388.089170642701,3,11,10,1,0.230769230769231,0.75,0.352941176470588
